Category,Title,Description,ImageName,Link
Institutional,PP Savani University Campus,Master Plan and Landscape design of 100 Acres campus premise. Supervising development of Entry area and Ecological up-gradation.,surat.jpg,
Institutional,Saurashtra University Campus,Master planning of 410 Acres university premises,rajkot_saurashtra.jpg,
Institutional,V.V.P. Engineering College,Landscape master plan for 45 Acres Institutional campus. Recognized by I.I.A as outstanding institutional campus.,rajkot_vvp.jpg,
Institutional,Indubhai Parekh School of Architecture,Landscape master plan for 5 Acres Institutional campus including assembly courts and amphitheatre.,rajkot_ipsa.jpg,
Institutional,Gyanoday Tirthkshetra Nareli,Master plan for 210 Acres Pilgrim site based on jain mythological principles.,ajmer.jpg,
Institutional,Science and Technology Park,Master Plan for 350 hectares adjoining Science City. Urban Design Guidelines for built environment.,ahmedabad_sc_park.jpg,
Institutional,Proposed Science City,Conceptual Plan for proposed science city (100 hectares area) and Urban design guidelines.,ahmedabad_sc_plan.jpg,
Institutional,Impact of Science City,Master Plan for surrounding development covering approximately 3000 hectares.,ahmedabad_sc_impact.jpg,
Heritage,Nau Chauki Pal,Vision Plan for Conservation and Landscape design of 10 Acres Lake Front Garden and its Environs.,rajsamand.jpg,http://www.mansee.in/wp-content/uploads/2018/02/edc-ncp-rajsamand.pdf
Heritage,Conservation of Nagaur Fort,Documentation of Nagaur Palace-Fort complex. Renovation plan to convert it into palace Hotel and Museum.,nagaur.jpg,
Heritage,Somnath Temple Area Upgradation,Conceptual plan of Somnath Temple precinct. Master plan of approach road and beach area development.,patan_temple.jpg,
Heritage,Dwarkadhish Temple Precinct,Design Proposal for Improvement of the Physical Environment of the Dwarkadhish temple precinct.,dwarka_temple.jpg,
Heritage,Redevelopment of Gomti ghat,Development of ghats and specific details worked out for execution to tackle back-water.,dwarka_ghat.jpg,
Heritage,New Approach Road Dwarka,Design Proposal for land reclamation for promenade along Gomti river for direct approach to the temple.,dwarka_approach.jpg,
Residential,Rainbow Gardens II,Master Plan,rajkot_rainbow.jpg,
Residential,RK Castle Resort,Master Plan,udaipur.jpg,
Residential,Hotel Khirsara Palace,Master Plan,rajkot_khirasara.jpg,http://www.khirasarapalace.in/gallery.html
Residential,The Gir Relish,Master Plan and Architectural design of 800 Acres site for Eco-Tourism including farmhouses.,amreli.jpg,
Residential,Serenade Villa Rawal,Development of 3 Acres weekend house with multiple terraces,rajkot_villa.jpg,
Residential,Rainbow Residency I,Master Plan of 5 Acres site for 24 boundary less bungalows clustered around combined gardens.,rajkot_rainbow_res.jpg,
Residential,Arham Kutir Cottages,Master planning and layout of 93 Acres for residential development including cottages and amenities.,balotra_arham.jpg,
Residential,Valley View Farms,Master Planning of 37 Acres for residential development. Design of clubhouse and residential units.,balotra_valley.jpg,
Environmental,Development of Patan Village,Environmental up-gradation plan for the lake and its surroundings including capacity building.,patan_somnath.jpg,
Environmental,Lighthouse Beach Area,Feasibility,veraval_lighthouse.jpg,
Environmental,Veraval Port Improvement Plan,Rapid Environment Impact Assessment of harbour and fish processing area.,veraval_port.jpg,
Environmental,Assessment of Veraval Harbour,Primary survey and Development Proposal for the physical improvement of Veraval-Patan town.,veraval_patan.jpg,
Environmental,Rapid EIA of Sabarmati River Front,Survey of existing Public Institutions and Land Use Analysis with stress on nature of transformation.,ahmedabad_srfd.jpg,
Environmental,Building Status Assessment,Assisted experts in preparation of format to categorize building damages after earthquake.,ahmedabad_eq.jpg,
Environmental,Yashodadham Rehabilitation,Master plan and development guidelines for Yashodhadham covering 14 hectares.,bhachhau_yash.jpg,
Environmental,Rehabilitation of Social Amenities,Design of primary health centre,bhachhau_amenities.jpg,
Environmental,Damage Assessment,Reconnaissance survey and documentation of damages in 26 earthquake affected villages.,bhachhau_damage.jpg,
Environmental,R.K. Marbles New Morwad Mines,Landscape design of a marble dumpyard reclamation site including corporate office and sewage treatment.,rajsamand_mines.jpg,
Urban,Reliance Rural Retail Hub,Master plan of 10 Acres site for Modular Layout of rural retail hubs (8000 units) across India.,pan_india.jpg,
Urban,Development Strategies for 5 towns,Study of Junagadh,gujarat.jpg,
Urban,Dwarka Urban Design Initiative,Reconnaissance study of city of Dwarka. Recommendations for improvement and measures for tourism.,dwarka_urban.jpg,
Urban,Ahmedabad Univeristy,Master Study,dwarka_urban.jpg,
